

Data Parameters
,charge, 2
,min explained_percent for unmod, 0
,modifications chosen,-17,16,28,43
,MS levels chosen,2
,modified spectra chosen, all ids with best MQScore

LP Parameters
,mass tolerance, 0.40
,bIdx,b,b2,b(iso)
,yIdx,y,y2,y(iso)

Grouping Parameters
,intensity threshold, 5
,bIdx for grouping,b,b2,b(iso)
,yIdx for grouping,y,y2,y(iso)

FDR parameters
,cosine threshold, 0.40
,FDR threshold, 0.01
cosine threshold, 0.40
score threshold, 55

threshold, FDR, k>=1,k=1,k=2,k=3,k=4,k=5
60.000000,0.013847,93.804285,93.804285,0.000000,0.000000,0.000000,0.000000,
55.000000,0.014818,94.672843,94.672843,0.000000,0.000000,0.000000,0.000000,
50.000000,0.017610,95.830921,95.773017,0.057904,0.000000,0.000000,0.000000,
45.000000,0.019647,96.236248,95.946728,0.289519,0.000000,0.000000,0.000000,
40.000000,0.022139,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
39.000000,0.022939,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
38.000000,0.024496,96.873191,96.178344,0.694847,0.000000,0.000000,0.000000,
37.000000,0.025205,96.931094,95.946728,0.984366,0.000000,0.000000,0.000000,
36.000000,0.026500,96.988998,95.946728,1.042270,0.000000,0.000000,0.000000,
35.000000,0.027527,97.104806,96.062536,1.042270,0.000000,0.000000,0.000000,
34.000000,0.028552,97.220614,96.178344,1.042270,0.000000,0.000000,0.000000,
33.000000,0.030331,97.220614,95.946728,1.273885,0.000000,0.000000,0.000000,
32.000000,0.030823,97.336422,96.062536,1.273885,0.000000,0.000000,0.000000,
31.000000,0.032628,97.394325,96.062536,1.331789,0.000000,0.000000,0.000000,
30.000000,0.032872,97.452229,96.120440,1.331789,0.000000,0.000000,0.000000,
25.000000,0.040192,97.683845,95.830921,1.852924,0.000000,0.000000,0.000000,
20.000000,0.047634,97.741749,95.136074,2.605675,0.000000,0.000000,0.000000,
15.000000,0.063909,98.320787,95.020266,3.300521,0.000000,0.000000,0.000000,
10.000000,0.086190,98.784019,94.788651,3.995368,0.000000,0.000000,0.000000,
5.000000,0.131030,98.841922,93.398958,5.442965,0.000000,0.000000,0.000000,



Trivial,  1218
 ,confirmed Inspect, 1074
 ,no assignment, 28
 ,incorrect assignment, 49
 ,rejected, 67
Non Trivial, 619
 ,confirmed Inspect, 538
 ,,not ambigous, 397
 ,, ambigous, 141
 ,different site, 23
 ,mixture, 0
 ,no assignment, 10
 ,incorrect site, 5
 ,rejected, 43
Total, 1837


filename, light/heavy, #MS1, #MS2, #MS3, #MS2_id, #MS3_id, #unmod_ids, #mod, #unmod_uniq, #mod_uniq
spectra_files\lens\mgf\\93y_insol_37_38.mgf,light,0,748,0,233,0,191,42,86,25,
spectra_files\lens\mgf\\93y_insol_39_40.mgf,light,0,747,0,250,0,213,37,73,24,
spectra_files\lens\mgf\\93y_insol_41_42.mgf,light,0,736,0,245,0,208,37,65,18,
spectra_files\lens\mgf\\93y_insol_43_44.mgf,light,0,773,0,276,0,246,30,69,14,
spectra_files\lens\mgf\\93y_insol_45_46.mgf,light,0,735,0,268,0,232,36,69,14,
spectra_files\lens\mgf\\93y_insol_47_48.mgf,light,0,688,0,235,0,191,44,57,13,
spectra_files\lens\mgf\\93y_insol_49_52.mgf,light,0,695,0,193,0,165,28,47,9,
spectra_files\lens\mgf\\93y_insol_53_56.mgf,light,0,665,0,114,0,99,15,32,9,
spectra_files\lens\mgf\\93y_insol_57_60.mgf,light,0,674,0,103,0,85,18,29,9,
spectra_files\lens\mgf\\93y_insol_61_64.mgf,light,0,699,0,106,0,88,18,29,9,
spectra_files\lens\mgf\\93yo_sol_01_04.mgf,light,0,465,0,1,0,6,1,1,0,
spectra_files\lens\mgf\\93yo_sol_05_08.mgf,light,0,578,0,22,0,8,14,8,13,
spectra_files\lens\mgf\\93yo_sol_09_12.mgf,light,0,718,0,77,0,28,49,25,37,
spectra_files\lens\mgf\\93yo_sol_13_16.mgf,light,0,733,0,57,0,21,36,19,26,
spectra_files\lens\mgf\\93yo_sol_17_20.mgf,light,0,779,0,39,0,25,14,15,13,
spectra_files\lens\mgf\\93yo_sol_21_24.mgf,light,0,724,0,70,0,64,6,31,5,
spectra_files\lens\mgf\\93yo_sol_25_26.mgf,light,0,654,0,69,0,58,11,36,9,
spectra_files\lens\mgf\\93yo_sol_27_28.mgf,light,0,727,0,138,0,116,22,56,17,
spectra_files\lens\mgf\\93yo_sol_29_30.mgf,light,0,759,0,204,0,147,57,63,31,
spectra_files\lens\mgf\\93yo_sol_31_32.mgf,light,0,762,0,256,0,193,63,72,29,
spectra_files\lens\mgf\\93yo_sol_33_34.mgf,light,0,754,0,287,0,211,76,79,36,
spectra_files\lens\mgf\\93yo_sol_35_36.mgf,light,0,764,0,297,0,242,55,88,28,
spectra_files\lens\mgf\\93yo_sol_37_38.mgf,light,0,795,0,279,0,213,66,80,32,
spectra_files\lens\mgf\\93yo_sol_39_40.mgf,light,0,760,0,232,0,203,29,68,14,
spectra_files\lens\mgf\\93yo_sol_41_42.mgf,light,0,829,0,260,0,223,37,76,17,
spectra_files\lens\mgf\\93yo_sol_43_44.mgf,light,0,777,0,263,0,229,34,61,16,
spectra_files\lens\mgf\\93yo_sol_45_46.mgf,light,0,794,0,308,0,255,53,72,18,
spectra_files\lens\mgf\\93yo_sol_47_48.mgf,light,0,788,0,323,0,261,62,85,16,
spectra_files\lens\mgf\\93yo_sol_49_50.mgf,light,0,769,0,288,0,227,61,75,17,
spectra_files\lens\mgf\\93yo_sol_51_52.mgf,light,0,771,0,241,0,205,36,54,8,
spectra_files\lens\mgf\\93yo_sol_53_56.mgf,light,0,829,0,179,0,155,24,52,9,
spectra_files\lens\mgf\\93yo_sol_57_60.mgf,light,0,824,0,135,0,106,29,41,10,
spectra_files\lens\mgf\\93yo_sol_61_64.mgf,light,0,818,0,180,0,134,46,44,10,
